Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;2;2;125;S;S;N;Piso;"Zirgariak Kaia; Basurtu - Zorrotza";1400;Basurtu;29709
Bilbao;2;1;65;N;N;N;Piso;Ibaiondo;990;Ibaiondo;30491
Bilbao;2;1;65;N;N;N;Piso;"Andramaria de Begoña Auzoa; Uribarri";700;Uribarri;18654
Bilbao;2;2;120;S;S;N;Piso;"Grupo Tomas Zubiria Ybarra; Uribarri";1000;Uribarri;18654
Bilbao;2;1;88;S;S;N;Piso;Indautxu;1200;Indautxu;40401
Bilbao;1;1;62;S;S;N;Apartamento;"Calle Biarritz; Errekalde";860;Errekalde;21172
Bilbao;1;2;50;N;S;N;Piso;"Mazarredo Zumarkalea; Abando - Albia";1200;Abando;40300
Bilbao;1;1;62;S;S;N;Apartamento;Errekalde;860;Errekalde;21172
Bilbao;2;1;70;N;S;N;Piso;Abando - Albia;950;Abando;40300
Bilbao;2;2;70;N;S;N;Piso;Abando - Albia;1200;Abando;40300
Bilbao;3;2;105;S;S;N;Piso;"Santutxu Kalea; Begoña - Santutxu";990;Santutxu;18165
Bilbao;3;2;100;N;S;N;Piso;Indautxu;1200;Indautxu;40401
Bilbao;1;1;48;S;S;N;Piso;"Avenida Sabino Arana; Indautxu";830;Indautxu;40401
Bilbao;2;2;75;N;S;N;Piso;"Calle Henao; Abando - Albia";1400;Abando;40300
Bilbao;2;1;75;N;N;N;Piso;Ibaiondo;850;Ibaiondo;30491
Bilbao;3;2;95;N;S;N;Piso;Basurtu - Zorrotza;1050;Basurtu;29709
Bilbao;5;2;140;N;S;N;Piso;Abando - Albia;2900;Abando;40300
Bilbao;2;2;65;N;S;N;Piso;"Calle San Mamés; Indautxu";800;Indautxu;40401
Bilbao;2;2;80;N;S;N;Piso;Ibaiondo;1000;Ibaiondo;30491
Bilbao;1;1;63;S;S;N;Apartamento;"Biarritz Kalea; Errekalde";860;Errekalde;21172
Bilbao;4;2;168;N;S;N;Piso;Abando - Albia;1550;Abando;40300
Bilbao;1;1;61;N;N;N;Piso;"Artekale Kalea; Ibaiondo";780;Ibaiondo;30491
Bilbao;1;2;105;N;N;N;Piso;Uribarri;1300;Uribarri;18654
Bilbao;4;3;139;N;S;N;Piso;Abando - Albia;1500;Abando;40300
Bilbao;1;1;65;N;S;N;Piso;Abando - Albia;1100;Abando;40300
Bilbao;1;1;74;N;S;N;Apartamento;Ibaiondo;1190;Ibaiondo;30491
Bilbao;2;1;65;S;S;N;Piso;"Gordóniz Kalea; Errekalde";990;Errekalde;21172
Bilbao;2;1;65;S;S;N;Piso;Errekalde;990;Errekalde;21172
Bilbao;3;2;98;N;S;N;Piso;Indautxu;1800;Indautxu;40401
Bilbao;2;2;90;N;S;N;Piso;Uribarri;1250;Uribarri;18654
Bilbao;2;1;70;N;N;N;Piso;Deusto;850;Deusto;28537
Bilbao;2;2;70;N;S;N;Piso;"Calle Rodríguez Arias; Indautxu";900;Indautxu;40401
Bilbao;3;2;85;N;S;N;Piso;Errekalde;960;Errekalde;21172
Bilbao;2;2;74;N;S;N;Piso;"Calle General Eguía; Basurtu - Zorrotza";870;Basurtu;29709
Bilbao;3;2;85;S;S;N;Piso;"Calle Etxezuri; Uribarri";1200;Uribarri;18654
Bilbao;2;2;67;N;S;N;Piso;Indautxu;900;Indautxu;40401
Bilbao;2;1;75;N;S;N;Piso;Abando - Albia;1150;Abando;40300
Bilbao;3;1;80;N;S;N;Piso;Begoña - Santutxu;850;Santutxu;18165
Bilbao;2;1;72;N;S;N;Piso;Indautxu;900;Indautxu;40401
Bilbao;2;1;60;N;N;N;Piso;"Barrio Zurbaranbarri; Uribarri";675;Uribarri;18654
Bilbao;4;2;130;N;S;N;Piso;Indautxu;1600;Indautxu;40401
Bilbao;2;2;95;N;S;N;Piso;"Calle de Ercilla; Abando - Albia";1300;Abando;40300
Bilbao;2;2;92;S;S;N;Piso;"Grupo Tomas Zubiria Ybarra; Uribarri";1000;Uribarri;18654
Bilbao;3;1;90;S;S;N;Piso;"Calle Arane; Errekalde";880;Errekalde;21172
Bilbao;1;1;57;N;S;N;Apartamento;"Carretera Basurto-castrejana; Basurtu - Zorrotza";850;Basurtu;29709
Bilbao;2;2;97;N;S;N;Piso;Indautxu;1300;Indautxu;40401
Bilbao;2;2;72;N;N;N;Piso;Indautxu;950;Indautxu;40401
Bilbao;2;2;82;S;S;N;Piso;Ibaiondo;1300;Ibaiondo;30491
Bilbao;3;2;110;N;S;N;Piso;"Avenida Lehendakari Aguirre; Deusto";1000;Deusto;28537
