Habitaciones,Banhos,Superficie,Barrio,Renta,Precio
3,2,90,4,28537,900
4,2,125,4,28537,1400
2,1,70,1,40401,950
2,1,70,4,28537,850
1,1,50,7,18654,730
3,2,100,7,18654,1000
3,2,100,4,28537,1400
3,2,100,4,28537,1100
2,2,88,0,40300,1350
2,2,100,3,29709,1000
2,2,80,1,40401,1100
1,1,53,0,40300,1350
2,1,70,7,18654,1000
1,1,40,0,40300,780
4,2,120,4,28537,1400
2,1,75,0,40300,800
1,2,75,0,40300,1500
2,1,63,2,30491,900
3,2,115,1,40401,1200
3,2,100,1,40401,1150
3,1,80,2,30491,950
3,2,92,6,21172,1250
3,2,100,4,28537,1100
3,2,115,2,30491,1050
3,2,135,1,40401,1200
1,1,73,2,30491,1190
3,2,100,4,28537,1100
4,2,125,4,28537,1450
3,2,100,1,40401,900
1,1,34,1,40401,800
3,1,82,7,18654,800
2,1,60,0,40300,1300
3,2,200,0,40300,3000
4,1,100,3,29709,1200
2,1,65,3,29709,800
5,8,230,0,40300,1500
3,2,100,4,28537,1100
2,1,65,0,40300,830
4,1,115,8,18165,1300
3,1,90,1,40401,1100
1,1,45,0,40300,700
1,1,45,1,40401,850
3,2,100,4,28537,1150
3,2,90,4,28537,1000
2,2,65,0,40300,1500
3,2,100,4,28537,1000
2,2,95,0,40300,1350
1,1,75,0,40300,1100
1,1,65,2,30491,890
2,1,75,2,30491,850
2,1,65,2,30491,850
2,2,90,6,21172,950
3,2,95,4,28537,1200
3,1,85,0,40300,1100
3,1,125,0,40300,1200
3,2,97,6,21172,1100
3,2,109,0,40300,1550
1,1,74,2,30491,890
2,2,108,0,40300,2200
2,2,108,0,40300,1900
1,2,65,0,40300,1100
3,2,149,7,18654,1200
3,2,100,4,28537,1100
2,2,65,7,18654,1250
1,1,65,2,30491,1190
1,1,40,1,40401,800
2,2,65,2,30491,950
1,1,65,2,30491,990
3,2,110,0,40300,1350
1,1,100,0,40300,2000
2,2,85,1,40401,1650
2,2,71,0,40300,1400
1,2,50,3,29709,1000
